"id";"case_id";"filter_id"
15;11;1
16;11;2
11;17;1
12;17;3
17;19;1
18;19;3
19;20;4
20;23;1
30;28;1
21;40;1
22;41;1
23;41;2
24;42;1
25;45;1
26;45;2
510;55;1
511;55;2
117;116;4
572;167;1
573;167;2
574;167;3
567;315;1
568;315;2
569;315;3
27;330;1
28;331;1
29;332;1
31;378;4
32;379;4
33;380;1
34;380;2
35;380;3
36;381;1
37;381;2
38;381;3
39;382;1
40;382;2
41;382;3
42;383;1
43;383;2
44;384;1
45;384;2
46;385;1
47;385;2
48;385;3
49;386;1
50;386;2
51;386;3
52;387;1
53;387;2
54;388;1
55;388;2
56;388;3
57;389;1
58;389;3
59;390;1
60;390;2
61;390;3
62;391;1
63;391;2
64;391;3
65;392;1
66;392;2
67;392;3
68;393;1
69;393;3
70;394;1
71;394;3
72;395;1
73;395;2
74;395;3
75;396;1
76;396;3
77;397;1
78;397;2
79;397;3
80;398;1
81;399;1
82;400;4
83;401;1
84;401;2
85;401;3
86;402;4
87;403;1
88;404;1
89;404;2
90;404;3
91;405;1
92;405;3
93;406;1
94;406;3
95;407;1
96;407;3
97;408;1
98;408;3
99;409;1
100;409;2
101;409;3
102;410;1
103;410;3
104;411;1
105;411;2
106;411;3
107;412;1
108;412;3
109;413;1
110;413;3
111;414;1
112;414;2
113;414;3
114;415;1
115;415;2
116;415;3
118;416;4
119;417;4
120;418;1
121;418;3
122;419;1
123;419;2
124;419;3
125;420;4
126;421;4
127;422;4
128;423;4
129;424;1
130;424;3
131;425;1
132;425;2
133;425;3
134;426;1
135;426;2
136;426;3
137;427;1
138;427;3
139;428;1
140;428;2
141;428;3
142;429;1
143;429;2
144;429;3
145;430;1
146;430;2
147;430;3
148;431;4
149;432;1
150;433;1
151;433;3
152;434;1
153;434;2
154;434;3
155;435;1
156;435;2
157;435;3
158;436;1
159;436;2
160;436;3
161;437;1
162;438;4
163;439;4
164;440;4
165;441;4
166;442;1
167;442;3
168;443;1
169;443;3
170;444;1
171;444;3
172;445;1
173;445;2
174;445;3
175;446;1
176;446;2
177;446;3
178;447;1
179;447;3
180;448;4
181;449;1
182;449;2
183;449;3
184;450;1
185;450;2
186;450;3
187;451;1
188;451;3
189;452;2
190;453;4
191;454;1
192;454;2
193;454;3
194;455;4
195;456;1
196;456;2
197;456;3
198;457;1
199;457;2
200;457;3
201;458;1
202;458;2
203;458;3
204;459;1
205;459;3
206;460;4
207;461;1
208;461;2
209;461;3
210;462;4
211;463;4
212;464;4
213;465;1
214;465;3
215;466;1
216;466;3
217;467;1
218;467;2
219;467;3
220;468;1
221;468;2
222;468;3
223;469;1
224;469;2
225;469;3
226;470;1
227;470;2
228;470;3
229;471;4
230;472;1
231;472;2
232;472;3
233;473;4
234;474;1
235;474;3
236;475;1
237;475;2
238;475;3
239;476;1
240;476;2
241;476;3
242;477;1
243;477;3
244;478;1
245;478;2
246;478;3
247;479;1
248;479;2
249;479;3
250;480;1
251;480;2
252;480;3
253;481;1
254;481;2
255;481;3
256;482;1
257;482;2
258;482;3
259;483;1
260;483;3
261;484;1
262;484;2
263;484;3
264;485;1
265;485;2
266;485;3
267;486;1
268;486;2
269;486;3
270;487;1
271;487;2
272;487;3
273;488;1
274;488;2
275;488;3
276;489;1
277;489;2
278;489;3
279;490;1
280;490;2
281;490;3
282;491;1
283;491;3
284;492;1
285;492;2
286;492;3
287;493;1
288;493;2
289;493;3
290;494;1
291;494;3
292;495;1
293;495;3
294;496;1
295;496;2
296;496;3
297;497;1
298;497;2
299;497;3
300;498;1
301;498;2
302;498;3
303;499;1
304;499;3
305;500;1
306;500;3
307;501;4
308;502;1
309;502;2
310;502;3
311;503;1
313;503;2
312;503;3
314;504;1
315;504;3
316;505;1
317;505;2
318;505;3
319;506;1
320;506;3
321;507;1
322;507;3
323;508;1
324;508;2
325;508;3
326;509;4
327;510;4
328;511;1
329;511;3
330;512;1
331;512;3
332;513;1
333;513;2
334;513;3
335;514;1
336;514;2
337;514;3
338;515;4
339;516;1
340;516;3
341;517;4
342;518;4
343;519;1
344;519;3
345;520;1
346;520;2
347;520;3
348;521;4
349;522;1
350;522;3
351;523;1
352;523;3
353;524;1
354;524;3
355;525;1
356;525;3
357;526;4
358;527;1
359;527;3
360;528;1
361;528;3
362;529;1
363;529;3
364;530;4
365;531;1
366;531;2
367;531;3
368;532;1
369;532;2
370;532;3
371;533;1
372;533;2
373;533;3
374;534;4
375;535;4
376;536;4
377;537;1
378;537;3
