id,startdate,enddate,Price,machine_id,isrenewed
329,2019-06-19,2020-06-18,1280,1,1
330,2019-06-19,2020-06-18,1280,2,1
331,2019-06-19,2020-06-18,1280,3,0
332,2019-06-19,2020-06-18,1280,4,1
336,2011-03-09,2012-03-08,1280,8,0
337,2011-04-14,2012-04-13,1280,9,1
338,2011-08-14,2012-08-13,1280,10,0
339,2011-08-14,2012-08-13,1280,11,0
340,2011-08-14,2012-08-13,1280,12,0
341,2011-10-18,2012-10-17,1280,13,0
342,2012-01-07,2013-01-06,1280,14,0
343,2018-06-06,2019-06-06,1280,15,0
344,2012-06-23,2013-06-23,1280,16,0
345,2012-12-13,2013-12-13,1280,17,0
346,2012-12-13,2013-12-13,1280,18,0
347,2013-09-18,2014-09-18,1280,19,0
348,2013-06-01,2014-06-01,1280,20,0
349,2013-11-01,2014-11-01,1280,21,0
350,2014-11-27,2015-11-27,1280,22,1
351,2014-11-27,2015-11-27,1280,23,1
352,2014-04-01,2015-04-01,1280,24,0
353,2014-05-22,2015-05-22,1280,25,0
354,2017-12-05,2018-12-05,1280,26,0
355,2018-07-09,2019-07-09,1280,27,0
356,2015-08-26,2016-08-25,1280,28,0
358,2014-04-10,2015-04-10,1280,30,0
359,2014-10-03,2015-10-03,1280,31,0
360,2014-10-13,2015-10-13,1280,32,0
361,2014-10-27,2015-10-27,1280,33,0
362,2017-10-27,2018-10-27,1280,34,0
363,2014-10-24,2015-10-24,1280,35,0
364,2015-10-28,2016-10-27,1280,36,0
365,2014-11-17,2015-11-17,1280,37,0
366,2014-12-05,2015-12-05,1280,38,0
367,2014-12-08,2015-12-08,1280,39,0
368,2014-12-16,2015-12-16,1280,40,0
369,2014-12-29,2015-12-29,1280,41,0
370,2014-12-18,2015-12-18,1280,42,0
371,2017-12-05,2018-12-05,1280,43,0
372,2014-12-27,2015-12-27,1280,44,0
373,2015-01-02,2016-01-02,1280,45,0
374,2015-01-30,2016-01-30,1280,46,0
375,2016-12-22,2017-12-22,1280,47,0
376,2015-10-16,2016-10-15,1280,48,0
377,2015-02-16,2016-02-16,1280,49,0
378,2015-03-12,2016-03-11,1280,50,0
379,2015-03-29,2016-03-28,1280,51,0
380,2015-03-31,2016-03-30,1280,52,0
381,2015-04-01,2016-03-31,1280,53,0
382,2015-04-03,2016-04-02,1280,54,0
383,2015-04-10,2016-04-09,1280,55,0
384,2016-04-15,2017-04-15,1280,56,0
385,2015-04-22,2016-04-21,1280,57,0
386,2015-04-23,2016-04-22,1280,58,0
387,2015-05-09,2016-05-08,1280,59,0
388,2015-05-09,2016-05-08,1280,60,0
389,2015-05-04,2016-05-03,1280,61,0
390,2015-05-05,2016-05-04,1280,62,0
391,2015-05-11,2016-05-10,1280,63,0
392,2015-05-26,2016-05-25,1280,64,0
393,2015-06-08,2016-06-07,1280,65,0
394,2015-06-26,2016-06-25,1280,66,0
395,2017-12-05,2018-12-05,1280,67,0
396,2015-07-13,2016-07-12,1280,68,0
397,2015-07-13,2016-07-12,1280,69,0
398,2018-07-23,2019-07-23,1280,70,0
399,2015-08-04,2016-08-03,1280,71,0
400,2015-08-03,2016-08-02,1280,72,0
401,2015-08-03,2016-08-02,1280,73,0
403,2015-08-14,2016-08-13,1280,75,0
404,2015-08-27,2016-08-26,1280,76,0
405,2015-08-28,2016-08-27,1280,77,0
406,2015-08-27,2016-08-26,1280,78,0
407,2015-08-31,2016-08-30,1280,79,0
408,2015-09-04,2016-09-03,1280,80,0
409,2015-09-11,2016-09-10,1280,81,0
410,2015-09-11,2016-09-10,1280,82,0
411,2015-09-14,2016-09-13,1280,83,0
412,2015-09-17,2016-09-16,1280,84,0
413,2015-10-08,2016-10-07,1280,85,0
414,2015-10-06,2016-10-05,1280,86,0
415,2015-10-16,2016-10-15,1280,87,0
416,2015-10-20,2016-10-19,1280,88,0
417,2015-10-20,2016-10-19,1280,89,0
418,2015-10-19,2016-10-18,1280,90,0
419,2015-10-23,2016-10-22,1280,91,0
420,2015-10-26,2016-10-25,1280,92,0
421,2015-10-22,2016-10-21,1280,93,0
422,2015-10-23,2016-10-22,1280,94,0
423,2015-10-27,2016-10-26,1280,95,0
424,2015-10-29,2016-10-28,1280,96,0
425,2015-11-07,2016-11-06,1280,97,0
426,2015-11-25,2016-11-24,1280,98,0
427,2016-08-31,2017-08-31,1280,99,0
428,2015-11-01,2016-10-31,1280,100,0
429,2015-11-30,2016-11-29,1280,101,1
430,2015-11-27,2016-11-26,1280,102,0
431,2015-12-18,2016-12-17,1280,103,0
432,2015-12-30,2016-12-29,1280,104,0
433,2016-01-21,2017-01-20,1280,105,0
434,2016-01-21,2017-01-20,1280,106,0
435,2016-01-15,2017-01-14,1280,107,0
436,2016-02-04,2017-02-03,1280,108,0
437,2016-01-27,2017-01-26,1280,109,0
438,2016-01-29,2017-01-28,1280,110,0
